"","X","WS_c1.which.mclass....3...1."
"2161",2161,"AT3G43790"
"3111",3111,"AT5G02750"
"1891",1891,"AT3G12977"
"136",136,"AT1G08090"
"719",719,"AT1G60620"
"1600",1600,"AT2G43370"
"546",546,"AT1G46768"
"3816",3816,"AT5G56970"
"1893",1893,"AT3G13175"
"3974",3974,"AT5G67160"
"2783",2783,"AT4G22920"
"307",307,"AT1G17630"
"376",376,"AT1G22510"
"3014",3014,"AT4G37630"
"545",545,"AT1G46554"
"1104",1104,"AT2G02765"
"1947",1947,"AT3G16140"
"3249",3249,"AT5G10530"
"3944",3944,"AT5G65740"
"3142",3142,"AT5G04360"
"2309",2309,"AT3G53960"
"3012",3012,"AT4G37240"
"1789",1789,"AT3G06660"
"212",212,"AT1G11880"
"2800",2800,"AT4G24110"
"3919",3919,"AT5G64380"
"415",415,"AT1G26330"
"3265",3265,"AT5G11310"
"2871",2871,"AT4G28030"
"673",673,"AT1G55980"
"1496",1496,"AT2G37310"
"3431",3431,"AT5G23440"
"3510",3510,"AT5G35740"
"2542",2542,"AT4G08330"
"3605",3605,"AT5G43080"
"2939",2939,"AT4G32430"
"1098",1098,"AT2G02410"
"199",199,"AT1G11220"
"3318",3318,"AT5G15970"
"2268",2268,"AT3G51110"
