"","X","WS_FLT_c1.which.mclass....4...1."
"186",186,"AT1G08317"
"2846",2846,"AT4G24430"
"2814",2814,"AT4G21902"
"454",454,"AT1G22890"
"3291",3291,"AT5G14570"
"158",158,"AT1G07485"
"77",77,"AT1G04650"
"2807",2807,"AT4G21500"
"793",793,"AT1G61950"
"2974",2974,"AT4G35130"
"419",419,"AT1G20230"
"2475",2475,"AT3G60520"
"1804",1804,"AT3G03090"
"2548",2548,"AT4G01920"
"2471",2471,"AT3G60286"
"2686",2686,"AT4G13880"
"3021",3021,"AT4G37895"
"2269",2269,"AT3G47530"
"152",152,"AT1G07160"
"3755",3755,"AT5G54230"
"3263",3263,"AT5G11540"
"1468",1468,"AT2G30695"
"3398",3398,"AT5G22800"
"2988",2988,"AT4G36052"
"2608",2608,"AT4G08040"
"1085",1085,"AT1G76770"
"2315",2315,"AT3G50060"
"1763",1763,"AT3G01140"
"3937",3937,"AT5G66780"
"1978",1978,"AT3G12915"
"1241",1241,"AT2G08650"
"2823",2823,"AT4G22640"
"674",674,"AT1G52315"
"2473",2473,"AT3G60400"
"1692",1692,"AT2G43465"
"3680",3680,"AT5G49770"
"2042",2042,"AT3G17717"
"3049",3049,"AT4G39810"
"2271",2271,"AT3G47560"
"596",596,"AT1G45110"
"479",479,"AT1G26220"
"3442",3442,"AT5G25930"
"93",93,"AT1G05187"
"360",360,"AT1G16640"
"3108",3108,"AT5G02350"
"3596",3596,"AT5G44660"
"1095",1095,"AT1G77410"
"2274",2274,"AT3G47650"
"3449",3449,"AT5G26320"
"1654",1654,"AT2G41230"
"1931",1931,"AT3G09680"
"3601",3601,"AT5G44910"
"3642",3642,"AT5G47350"
"896",896,"AT1G67440"
"1187",1187,"AT2G04215"
"2734",2734,"AT4G16220"
"229",229,"AT1G09783"
"2507",2507,"AT3G62690"
"3306",3306,"AT5G15420"
"673",673,"AT1G52260"
"1603",1603,"AT2G37980"
"1735",1735,"AT2G46790"
"3666",3666,"AT5G48740"
"1039",1039,"AT1G74600"
"3865",3865,"AT5G61990"
"3226",3226,"AT5G09535"
"2733",2733,"AT4G16146"
"655",655,"AT1G51100"
"1542",1542,"AT2G34920"
"3639",3639,"AT5G47240"
"1038",1038,"AT1G74580"
"2745",2745,"AT4G16900"
"144",144,"AT1G06690"
"1891",1891,"AT3G07540"
"1104",1104,"AT1G78320"
"3121",3121,"AT5G02760"
"1412",1412,"AT2G25350"
"1534",1534,"AT2G34360"
"2902",2902,"AT4G28390"
"2026",2026,"AT3G16280"
"466",466,"AT1G24140"
"3700",3700,"AT5G51050"
"617",617,"AT1G48540"
"3578",3578,"AT5G43690"
"3646",3646,"AT5G47460"
"982",982,"AT1G72140"
"3074",3074,"AT5G01435"
"1364",1364,"AT2G22290"
"1687",1687,"AT2G43230"
"1226",1226,"AT2G07777"
"1675",1675,"AT2G42430"
"2749",2749,"AT4G17360"
"2443",2443,"AT3G58780"
"3335",3335,"AT5G17260"
"783",783,"AT1G61440"
"3691",3691,"AT5G50600"
"2116",2116,"AT3G23790"
"1634",1634,"AT2G39880"
"2041",2041,"AT3G17700"
"483",483,"AT1G26560"
"161",161,"AT1G07620"
"3602",3602,"AT5G44930"
"1246",1246,"AT2G08780"
"1259",1259,"AT2G09945"
"461",461,"AT1G23840"
"3881",3881,"AT5G63290"
"2754",2754,"AT4G17695"
"2675",2675,"AT4G13250"
"1045",1045,"AT1G74850"
"353",353,"AT1G16440"
"2684",2684,"AT4G13770"
"1859",1859,"AT3G05430"
"307",307,"AT1G13410"
"914",914,"AT1G68723"
"1301",1301,"AT2G17600"
"291",291,"AT1G12480"
"2429",2429,"AT3G57740"
"679",679,"AT1G52510"
"1211",1211,"AT2G07335"
"794",794,"AT1G61960"
"3130",3130,"AT5G03255"
"2052",2052,"AT3G18300"
"836",836,"AT1G63740"
"1597",1597,"AT2G37650"
"3827",3827,"AT5G59590"
"1091",1091,"AT1G77360"
"1237",1237,"AT2G08425"
