"","WS_GC_c1.which.mclass....4...1."
"1034","AT5G55930"
"1035","AT5G56100"
"1036","AT5G56300"
"1037","AT5G56860"
"1038","AT5G56910"
"1039","AT5G57123"
"1040","AT5G57240"
"1041","AT5G57320"
"1042","AT5G57567"
"1043","AT5G57690"
"1044","AT5G57880"
"1045","AT5G58260"
"1046","AT5G58280"
"1047","AT5G58570"
"1048","AT5G59170"
"1049","AT5G59200"
"1050","AT5G59370"
"1051","AT5G59662"
"1052","AT5G59760"
"1053","AT5G60022"
"1054","AT5G60060"
"1055","AT5G60180"
"1056","AT5G60350"
"1057","AT5G60880"
"1058","AT5G60910"
"1059","AT5G61070"
"1060","AT5G61090"
"1061","AT5G61280"
"1062","AT5G61740"
"1063","AT5G63300"
"1064","AT5G63350"
"1065","AT5G63390"
"1066","AT5G63750"
"1067","AT5G64750"
"1068","AT5G64900"
"1069","AT5G64905"
"1070","AT5G65165"
"1071","AT5G65350"
"1072","AT5G65550"
"1073","AT5G65609"
"1074","AT5G65890"
"1075","AT5G66780"
"1076","AT5G66816"
"1077","AT5G67050"
"1078","AT5G67060"
"1079","AT5G67080"
"1080","AT5G67310"
"1081","ATCG00040"
"1082","ATCG00120"
"1083","ATCG00470"
"1084","ATCG00500"
"1085","ATCG00770"
"1086","ATCG00780"
"1087","ATCG01050"
"1088","ATCG01100"
"1089","ATMG00080"
"1090","ATMG00510"
"1091","ATMG00513"
"1092","ATMG00520"
"1093","ATMG00580"
"1094","ATMG00730"
