"","X","phyD_FLT_c1.which.mclass....6...1."
"2267",2267,"AT3G20910"
"1435",1435,"AT2G22620"
"1526",1526,"AT2G28470"
"436",436,"AT1G22660"
"2010",2010,"AT3G06890"
"1847",1847,"AT2G45150"
"1805",1805,"AT2G43060"
"1421",1421,"AT2G21630"
"126",126,"AT1G06787"
"1067",1067,"AT1G72240"
"1395",1395,"AT2G20180"
"2595",2595,"AT3G54120"
"2864",2864,"AT4G05815"
"4502",4502,"AT5G67280"
"447",447,"AT1G23170"
"2930",2930,"AT4G12130"
"3293",3293,"AT4G31115"
"558",558,"AT1G31010"
"1672",1672,"AT2G36050"
"3099",3099,"AT4G21070"
"3747",3747,"AT5G16023"
"2307",2307,"AT3G23740"
"2175",2175,"AT3G16010"
"1591",1591,"AT2G31830"
"720",720,"AT1G51550"
"2069",2069,"AT3G10390"
"4367",4367,"AT5G59000"
"705",705,"AT1G50890"
"2467",2467,"AT3G47450"
"1346",1346,"AT2G17270"
"1417",1417,"AT2G21350"
"888",888,"AT1G62370"
"3611",3611,"AT5G07020"
"4172",4172,"AT5G48570"
"3096",3096,"AT4G20930"
"181",181,"AT1G09575"
"3183",3183,"AT4G25560"
"3436",3436,"AT4G38620"
"1363",1363,"AT2G18520"
"2685",2685,"AT3G59220"
"4051",4051,"AT5G41620"
"3722",3722,"AT5G14110"
