"","phyD_FLT_c1.which.mclass....7...1."
"875","AT2G39230"
"876","AT2G39510"
"877","AT2G39520"
"878","AT2G39820"
"879","AT2G40340"
"880","AT2G40390"
"881","AT2G40450"
"882","AT2G40460"
"883","AT2G40710"
"884","AT2G40711"
"885","AT2G40790"
"886","AT2G41082"
"887","AT2G41090"
"888","AT2G41170"
"889","AT2G41210"
"890","AT2G41230"
"891","AT2G41231"
"892","AT2G41240"
"893","AT2G41312"
"894","AT2G41340"
"895","AT2G41342"
"896","AT2G41355"
"897","AT2G41515"
"898","AT2G41810"
"899","AT2G42140"
"900","AT2G42150"
"901","AT2G42220"
"902","AT2G42690"
"903","AT2G42830"
"904","AT2G42860"
"905","AT2G42940"
"906","AT2G42980"
"907","AT2G43000"
"908","AT2G43141"
"909","AT2G43230"
"910","AT2G43270"
"911","AT2G43390"
"912","AT2G43550"
"913","AT2G43660"
"914","AT2G43700"
"915","AT2G43745"
"916","AT2G43870"
"917","AT2G44840"
"918","AT2G44880"
"919","AT2G44995"
"920","AT2G45120"
"921","AT2G45760"
"922","AT2G45780"
"923","AT2G45850"
"924","AT2G45900"
"925","AT2G45940"
"926","AT2G46130"
"927","AT2G46250"
"928","AT2G46300"
"929","AT2G46400"
"930","AT2G46530"
"931","AT2G46670"
"932","AT2G46840"
"933","AT2G46860"
"934","AT2G47190"
"935","AT2G47240"
"936","AT2G47370"
"937","AT2G47520"
"938","AT2G47560"
"939","AT2G47810"
"940","AT2G47870"
"941","AT2G48080"
"942","AT2G48090"
"943","AT2G48121"
"944","AT2G48150"
"945","AT3G01005"
"946","AT3G01035"
"947","AT3G01060"
"948","AT3G01065"
"949","AT3G01135"
"950","AT3G01140"
"951","AT3G01225"
"952","AT3G01311"
"953","AT3G01313"
"954","AT3G01385"
"955","AT3G01600"
"956","AT3G01660"
"957","AT3G01730"
"958","AT3G01760"
"959","AT3G01905"
"960","AT3G01935"
"961","AT3G02025"
"962","AT3G02115"
"963","AT3G02150"
"964","AT3G02275"
"965","AT3G02305"
"966","AT3G02365"
"967","AT3G02390"
"968","AT3G02465"
"969","AT3G02480"
"970","AT3G02485"
"971","AT3G02565"
"972","AT3G02695"
"973","AT3G02840"
"974","AT3G02895"
"975","AT3G02925"
"976","AT3G02945"
"977","AT3G03075"
"978","AT3G03095"
"979","AT3G03200"
"980","AT3G03225"
"981","AT3G03290"
"982","AT3G03350"
"983","AT3G03435"
"984","AT3G03620"
"985","AT3G03776"
"986","AT3G04110"
"987","AT3G04155"
"988","AT3G04185"
"989","AT3G04330"
"990","AT3G04370"
"991","AT3G04700"
"992","AT3G04755"
"993","AT3G04760"
"994","AT3G04800"
"995","AT3G04835"
"996","AT3G04960"
"997","AT3G04975"
"998","AT3G05055"
"999","AT3G05240"
"1000","AT3G05285"
"1001","AT3G05345"
"1002","AT3G05365"
"1003","AT3G05400"
"1004","AT3G05470"
"1005","AT3G05655"
"1006","AT3G05820"
"1007","AT3G05858"
"1008","AT3G05860"
"1009","AT3G05950"
"1010","AT3G05995"
"1011","AT3G06020"
"1012","AT3G06220"
"1013","AT3G06260"
"1014","AT3G06436"
"1015","AT3G06490"
"1016","AT3G06515"
"1017","AT3G06630"
"1018","AT3G06710"
"1019","AT3G06755"
"1020","AT3G06962"
"1021","AT3G07105"
"1022","AT3G07125"
"1023","AT3G07150"
"1024","AT3G07520"
"1025","AT3G07725"
"1026","AT3G07730"
"1027","AT3G07785"
"1028","AT3G07805"
"1029","AT3G07825"
"1030","AT3G07835"
"1031","AT3G07895"
"1032","AT3G07920"
"1033","AT3G07970"
"1034","AT3G08065"
"1035","AT3G08070"
"1036","AT3G08115"
"1037","AT3G08165"
"1038","AT3G08170"
"1039","AT3G08220"
"1040","AT3G08235"
"1041","AT3G08360"
"1042","AT3G08425"
"1043","AT3G08485"
"1044","AT3G08660"
"1045","AT3G08705"
"1046","AT3G08895"
"1047","AT3G08900"
"1048","AT3G08970"
"1049","AT3G09065"
"1050","AT3G09080"
"1051","AT3G09110"
"1052","AT3G09120"
"1053","AT3G09135"
"1054","AT3G09162"
"1055","AT3G09240"
"1056","AT3G09280"
"1057","AT3G09290"
"1058","AT3G09495"
"1059","AT3G09615"
"1060","AT3G09790"
"1061","AT3G09865"
"1062","AT3G09965"
"1063","AT3G09995"
