"","col_c1.which.mclass....9...1."
"1089","AT2G30100"
"1090","AT2G30150"
"1091","AT2G30370"
"1092","AT2G30480"
"1093","AT2G30505"
"1094","AT2G30660"
"1095","AT2G30670"
"1096","AT2G30695"
"1097","AT2G30890"
"1098","AT2G30945"
"1099","AT2G30960"
"1100","AT2G31070"
"1101","AT2G31141"
"1102","AT2G31310"
"1103","AT2G31730"
"1104","AT2G31830"
"1105","AT2G31865"
"1106","AT2G31870"
"1107","AT2G31930"
"1108","AT2G31940"
"1109","AT2G31990"
"1110","AT2G32010"
"1111","AT2G32120"
"1112","AT2G32179"
"1113","AT2G32180"
"1114","AT2G32390"
"1115","AT2G32400"
"1116","AT2G32410"
"1117","AT2G32470"
"1118","AT2G32930"
"1119","AT2G32990"
"1120","AT2G33050"
"1121","AT2G33051"
"1122","AT2G33180"
"1123","AT2G33250"
"1124","AT2G33290"
"1125","AT2G33480"
"1126","AT2G33530"
"1127","AT2G33540"
"1128","AT2G33640"
"1129","AT2G33680"
"1130","AT2G33735"
"1131","AT2G33820"
"1132","AT2G33860"
"1133","AT2G33980"
"1134","AT2G34060"
"1135","AT2G34080"
"1136","AT2G34180"
"1137","AT2G34185"
"1138","AT2G34200"
"1139","AT2G34355"
"1140","AT2G34420"
"1141","AT2G34530"
"1142","AT2G34910"
"1143","AT2G34920"
"1144","AT2G34940"
"1145","AT2G34980"
"1146","AT2G35030"
"1147","AT2G35035"
"1148","AT2G35155"
"1149","AT2G35160"
"1150","AT2G35170"
"1151","AT2G35210"
"1152","AT2G35350"
"1153","AT2G35382"
"1154","AT2G35430"
"1155","AT2G35500"
"1156","AT2G35658"
"1157","AT2G35690"
"1158","AT2G35740"
"1159","AT2G35750"
"1160","AT2G35760"
"1161","AT2G35935"
"1162","AT2G36000"
"1163","AT2G36010"
"1164","AT2G36050"
"1165","AT2G36090"
"1166","AT2G36270"
"1167","AT2G36355"
"1168","AT2G36370"
"1169","AT2G36430"
"1170","AT2G36570"
"1171","AT2G36650"
"1172","AT2G36730"
"1173","AT2G36840"
"1174","AT2G36990"
"1175","AT2G37070"
"1176","AT2G37240"
"1177","AT2G37260"
"1178","AT2G37300"
"1179","AT2G37310"
"1180","AT2G37360"
"1181","AT2G37362"
"1182","AT2G37440"
"1183","AT2G37450"
"1184","AT2G37460"
"1185","AT2G37530"
"1186","AT2G37540"
"1187","AT2G37590"
"1188","AT2G37640"
"1189","AT2G37650"
"1190","AT2G37770"
"1191","AT2G37820"
"1192","AT2G37920"
"1193","AT2G37925"
"1194","AT2G37930"
"1195","AT2G37950"
"1196","AT2G37960"
"1197","AT2G37970"
"1198","AT2G37980"
"1199","AT2G38010"
"1200","AT2G38070"
"1201","AT2G38185"
"1202","AT2G38210"
"1203","AT2G38240"
"1204","AT2G38250"
"1205","AT2G38330"
"1206","AT2G38430"
"1207","AT2G38500"
"1208","AT2G38570"
"1209","AT2G38760"
"1210","AT2G38830"
"1211","AT2G39180"
"1212","AT2G39220"
"1213","AT2G39360"
"1214","AT2G39510"
"1215","AT2G39560"
"1216","AT2G39710"
"1217","AT2G39730"
"1218","AT2G39880"
