"","WS_GC_c1.which.mclass....3...1."
"1166","AT1G32070"
"1167","AT1G32090"
"1168","AT1G32127"
"1169","AT1G32150"
"1170","AT1G32160"
"1171","AT1G32190"
"1172","AT1G32200"
"1173","AT1G32220"
"1174","AT1G32240"
"1175","AT1G32260"
"1176","AT1G32310"
"1177","AT1G32330"
"1178","AT1G32340"
"1179","AT1G32360"
"1180","AT1G32370"
"1181","AT1G32410"
"1182","AT1G32500"
"1183","AT1G32530"
"1184","AT1G32583"
"1185","AT1G32610"
"1186","AT1G32690"
"1187","AT1G32730"
"1188","AT1G32750"
"1189","AT1G32760"
"1190","AT1G32810"
"1191","AT1G32860"
"1192","AT1G32928"
"1193","AT1G32930"
"1194","AT1G32990"
"1195","AT1G33060"
"1196","AT1G33080"
"1197","AT1G33170"
"1198","AT1G33270"
"1199","AT1G33280"
"1200","AT1G33290"
"1201","AT1G33330"
"1202","AT1G33360"
"1203","AT1G33390"
"1204","AT1G33400"
"1205","AT1G33410"
"1206","AT1G33415"
"1207","AT1G33420"
"1208","AT1G33480"
"1209","AT1G33490"
"1210","AT1G33540"
"1211","AT1G33590"
"1212","AT1G33610"
"1213","AT1G33700"
"1214","AT1G33770"
"1215","AT1G33780"
"1216","AT1G33790"
"1217","AT1G33800"
"1218","AT1G33990"
"1219","AT1G34000"
"1220","AT1G34010"
"1221","AT1G34020"
"1222","AT1G34065"
"1223","AT1G34150"
"1224","AT1G34180"
"1225","AT1G34190"
"1226","AT1G34200"
"1227","AT1G34210"
"1228","AT1G34220"
"1229","AT1G34260"
"1230","AT1G34270"
"1231","AT1G34300"
"1232","AT1G34320"
"1233","AT1G34340"
"1234","AT1G34355"
"1235","AT1G34360"
"1236","AT1G34430"
"1237","AT1G34470"
"1238","AT1G34550"
