"","X","WS_GC_c1.which.mclass....5...1."
"1977",1977,"AT2G38180"
"4933",4933,"AT5G47780"
"1777",1777,"AT2G27830"
"2429",2429,"AT3G09800"
"3987",3987,"AT4G35580"
"3543",3543,"AT4G15093"
"181",181,"AT1G07960"
"1136",1136,"AT1G70060"
"2348",2348,"AT3G06530"
"3070",3070,"AT3G53970"
"2371",2371,"AT3G07300"
"2962",2962,"AT3G48185"
"4755",4755,"AT5G38880"
"234",234,"AT1G09815"
"4827",4827,"AT5G42860"
"1809",1809,"AT2G29080"
"1828",1828,"AT2G30210"
"670",670,"AT1G30470"
"1427",1427,"AT2G02610"
"4000",4000,"AT4G36380"
"3885",3885,"AT4G31790"
"1518",1518,"AT2G15790"
"513",513,"AT1G22140"
"4993",4993,"AT5G50310"
"2701",2701,"AT3G19740"
"446",446,"AT1G18720"
"1329",1329,"AT1G78680"
"1891",1891,"AT2G33840"
"422",422,"AT1G17455"
"3531",3531,"AT4G14570"
"987",987,"AT1G61010"
"5071",5071,"AT5G54390"
"1155",1155,"AT1G71010"
"4806",4806,"AT5G41940"
"2984",2984,"AT3G49490"
"1215",1215,"AT1G72920"
"5028",5028,"AT5G52060"
"3551",3551,"AT4G15640"
"1588",1588,"AT2G18910"
"1800",1800,"AT2G28670"
"5254",5254,"AT5G62260"
"411",411,"AT1G17060"
"4083",4083,"AT4G39170"
"367",367,"AT1G15010"
"1822",1822,"AT2G30020"
"5202",5202,"AT5G59560"
"4574",4574,"AT5G22320"
"4560",4560,"AT5G21060"
"4804",4804,"AT5G41790"
