"","WS_GC_c1.which.mclass....5...1."
"1136","AT1G70060"
"1137","AT1G70080"
"1138","AT1G70150"
"1139","AT1G70160"
"1140","AT1G70180"
"1141","AT1G70210"
"1142","AT1G70280"
"1143","AT1G70290"
"1144","AT1G70330"
"1145","AT1G70340"
"1146","AT1G70370"
"1147","AT1G70580"
"1148","AT1G70620"
"1149","AT1G70670"
"1150","AT1G70730"
"1151","AT1G70850"
"1152","AT1G70900"
"1153","AT1G70940"
"1154","AT1G70990"
"1155","AT1G71010"
"1156","AT1G71020"
"1157","AT1G71070"
"1158","AT1G71080"
"1159","AT1G71110"
"1160","AT1G71190"
"1161","AT1G71200"
"1162","AT1G71210"
"1163","AT1G71220"
"1164","AT1G71270"
"1165","AT1G71350"
"1166","AT1G71400"
"1167","AT1G71410"
"1168","AT1G71430"
"1169","AT1G71695"
"1170","AT1G71696"
"1171","AT1G71697"
"1172","AT1G71730"
"1173","AT1G71740"
"1174","AT1G71780"
"1175","AT1G71790"
"1176","AT1G71800"
"1177","AT1G71820"
"1178","AT1G71830"
"1179","AT1G71850"
"1180","AT1G71865"
"1181","AT1G71880"
"1182","AT1G71900"
"1183","AT1G71920"
"1184","AT1G71940"
"1185","AT1G71980"
"1186","AT1G71990"
"1187","AT1G72040"
"1188","AT1G72050"
"1189","AT1G72090"
"1190","AT1G72160"
"1191","AT1G72210"
"1192","AT1G72230"
"1193","AT1G72300"
"1194","AT1G72310"
"1195","AT1G72320"
"1196","AT1G72340"
"1197","AT1G72410"
"1198","AT1G72430"
"1199","AT1G72440"
"1200","AT1G72480"
"1201","AT1G72490"
"1202","AT1G72510"
"1203","AT1G72630"
"1204","AT1G72690"
"1205","AT1G72710"
"1206","AT1G72740"
"1207","AT1G72770"
"1208","AT1G72790"
"1209","AT1G72820"
"1210","AT1G72840"
"1211","AT1G72850"
"1212","AT1G72852"
"1213","AT1G72880"
"1214","AT1G72900"
"1215","AT1G72920"
"1216","AT1G72940"
"1217","AT1G73180"
"1218","AT1G73240"
"1219","AT1G73250"
"1220","AT1G73430"
"1221","AT1G73500"
"1222","AT1G73590"
"1223","AT1G73660"
"1224","AT1G73790"
"1225","AT1G73820"
"1226","AT1G73840"
"1227","AT1G73920"
"1228","AT1G73980"
"1229","AT1G74020"
"1230","AT1G74090"
"1231","AT1G74100"
"1232","AT1G74160"
"1233","AT1G74210"
"1234","AT1G74260"
"1235","AT1G74380"
"1236","AT1G74440"
"1237","AT1G74510"
"1238","AT1G74520"
