"","col_FLT_c1.which.mclass....9...1."
"1168","AT5G01670"
"1169","AT5G01770"
"1170","AT5G01780"
"1171","AT5G01881"
"1172","AT5G01920"
"1173","AT5G02065"
"1174","AT5G02070"
"1175","AT5G02105"
"1176","AT5G02250"
"1177","AT5G02360"
"1178","AT5G02490"
"1179","AT5G02520"
"1180","AT5G03355"
"1181","AT5G03406"
"1182","AT5G03420"
"1183","AT5G03555"
"1184","AT5G03650"
"1185","AT5G03885"
"1186","AT5G04070"
"1187","AT5G04895"
"1188","AT5G05130"
"1189","AT5G05190"
"1190","AT5G05510"
"1191","AT5G05580"
"1192","AT5G05630"
"1193","AT5G05790"
"1194","AT5G05870"
"1195","AT5G05940"
"1196","AT5G06100"
"1197","AT5G06220"
"1198","AT5G06390"
"1199","AT5G06430"
"1200","AT5G06680"
"1201","AT5G06710"
"1202","AT5G06770"
"1203","AT5G06810"
"1204","AT5G06811"
"1205","AT5G06930"
"1206","AT5G06940"
"1207","AT5G07000"
"1208","AT5G07070"
"1209","AT5G07240"
"1210","AT5G07250"
"1211","AT5G07580"
"1212","AT5G07710"
"1213","AT5G07790"
"1214","AT5G07810"
"1215","AT5G07980"
"1216","AT5G08010"
"1217","AT5G08110"
"1218","AT5G08270"
"1219","AT5G08650"
"1220","AT5G08710"
"1221","AT5G08855"
"1222","AT5G09285"
"1223","AT5G09350"
"1224","AT5G09420"
"1225","AT5G09800"
"1226","AT5G09820"
"1227","AT5G09840"
"1228","AT5G10080"
"1229","AT5G10260"
"1230","AT5G10320"
"1231","AT5G10600"
"1232","AT5G10605"
"1233","AT5G10690"
"1234","AT5G10900"
"1235","AT5G10965"
"1236","AT5G11020"
"1237","AT5G11100"
"1238","AT5G11310"
