"","X","col_FLT_c1.which.mclass....5...1."
"143",143,"AT1G07803"
"3069",3069,"AT5G18750"
"2534",2534,"AT4G20760"
"716",716,"AT1G61640"
"2684",2684,"AT4G31398"
"378",378,"AT1G22220"
"2233",2233,"AT3G61750"
"1628",1628,"AT3G02680"
"2299",2299,"AT4G02005"
"2230",2230,"AT3G61410"
"2424",2424,"AT4G13550"
"2726",2726,"AT4G34990"
"2047",2047,"AT3G48190"
"137",137,"AT1G07700"
"406",406,"AT1G25250"
"3570",3570,"AT5G61990"
"1324",1324,"AT2G31290"
"2589",2589,"AT4G24040"
"2695",2695,"AT4G32670"
"2353",2353,"AT4G07260"
"978",978,"AT1G77990"
"2088",2088,"AT3G50220"
"1590",1590,"AT2G47480"
"951",951,"AT1G75720"
"1784",1784,"AT3G13090"
"1120",1120,"AT2G14520"
"2546",2546,"AT4G21390"
"608",608,"AT1G53350"
"2921",2921,"AT5G06980"
"1526",1526,"AT2G43120"
"935",935,"AT1G74460"
"1841",1841,"AT3G17626"
"3649",3649,"ATCG00190"
"2918",2918,"AT5G06811"
"538",538,"AT1G47870"
"432",432,"AT1G27565"
"154",154,"AT1G08213"
"84",84,"AT1G05310"
"325",325,"AT1G18140"
"2802",2802,"AT4G39620"
"2014",2014,"AT3G45710"
"987",987,"AT1G78510"
"2050",2050,"AT3G48340"
"1395",1395,"AT2G35612"
"1491",1491,"AT2G41450"
"1741",1741,"AT3G09680"
"483",483,"AT1G32220"
"1799",1799,"AT3G14225"
"807",807,"AT1G67180"
"1070",1070,"AT2G04680"
"3242",3242,"AT5G40320"
"207",207,"AT1G11125"
"2259",2259,"AT4G00220"
"3328",3328,"AT5G45720"
"606",606,"AT1G53340"
"3006",3006,"AT5G13990"
"1563",1563,"AT2G45660"
"1794",1794,"AT3G14020"
"3295",3295,"AT5G43860"
"2781",2781,"AT4G38020"
"977",977,"AT1G77932"
"3021",3021,"AT5G15070"
"590",590,"AT1G52080"
"3081",3081,"AT5G19460"
"2576",2576,"AT4G23040"
"2900",2900,"AT5G05850"
"2472",2472,"AT4G16070"
"3628",3628,"AT5G66700"
"1703",1703,"AT3G06980"
"994",994,"AT1G78960"
"2811",2811,"AT5G00990"
"1272",1272,"AT2G26740"
"1381",1381,"AT2G34930"
"3056",3056,"AT5G17670"
"1825",1825,"AT3G16000"
"420",420,"AT1G26970"
"3384",3384,"AT5G49700"
"556",556,"AT1G49230"
"3390",3390,"AT5G50120"
"1181",1181,"AT2G20110"
"884",884,"AT1G71750"
"2767",2767,"AT4G37340"
"1228",1228,"AT2G23470"
"1518",1518,"AT2G42720"
"1103",1103,"AT2G08435"
"3514",3514,"AT5G58550"
"2474",2474,"AT4G16162"
"2198",2198,"AT3G58980"
"3019",3019,"AT5G15022"
"705",705,"AT1G61260"
"1456",1456,"AT2G38780"
"1904",1904,"AT3G23330"
"1471",1471,"AT2G39910"
"1837",1837,"AT3G17250"
"434",434,"AT1G27640"
"3231",3231,"AT5G39790"
"1917",1917,"AT3G24430"
"1121",1121,"AT2G14560"
"1133",1133,"AT2G16270"
"415",415,"AT1G26530"
"2850",2850,"AT5G02430"
"2478",2478,"AT4G16350"
"2406",2406,"AT4G12000"
"3647",3647,"ATCG00120"
"3461",3461,"AT5G54660"
"2414",2414,"AT4G12540"
"3413",3413,"AT5G51350"
"276",276,"AT1G15510"
"822",822,"AT1G67980"
"1170",1170,"AT2G19130"
"3674",3674,"ATMG00510"
"2184",2184,"AT3G58090"
"611",611,"AT1G53660"
"1089",1089,"AT2G07641"
"714",714,"AT1G61500"
"2814",2814,"AT5G01100"
"1844",1844,"AT3G17710"
"751",751,"AT1G63230"
"3300",3300,"AT5G44190"
"2194",2194,"AT3G58820"
"981",981,"AT1G78090"
"1112",1112,"AT2G11225"
"134",134,"AT1G07603"
"254",254,"AT1G13910"
"2521",2521,"AT4G19500"
"227",227,"AT1G12330"
"1124",1124,"AT2G15310"
"3526",3526,"AT5G59250"
"3558",3558,"AT5G61390"
"3216",3216,"AT5G38510"
"1616",1616,"AT3G02020"
"3067",3067,"AT5G18470"
"1247",1247,"AT2G24395"
"784",784,"AT1G65850"
"990",990,"AT1G78810"
"1392",1392,"AT2G35500"
"3122",3122,"AT5G23370"
"3254",3254,"AT5G41130"
"2489",2489,"AT4G17360"
"39",39,"AT1G03270"
