RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT3G44150,400.7747901,354.2707625,310.8332307,349.0456251,321.9379308,289.220437,350.9458433,169.6730816,264.7946142,391.5036067,333.8330648,387.0260175
AT3G44190,473.4357533,123.8844649,370.7400749,237.8892516,219.357267,204.280144,260.4953361,553.0961144,441.4368376,211.6253859,231.5162342,151.1314992
AT3G44200,285.6688421,251.5239556,192.7933689,216.1684746,207.2288409,234.6432209,329.2206326,324.1005279,324.2380104,161.9578158,178.6162414,161.8991749
AT3G44320,609.1023073,375.2317463,710.3053321,248.8383534,322.3534702,630.9861044,460.9164935,390.2965784,544.6262127,674.1282909,845.1964282,591.0993481
AT3G44330,611.3983394,433.1432434,508.4683863,555.6370283,488.4223395,501.976154,638.1958955,381.5794099,507.1214887,629.3383991,610.4579275,560.5615084
AT3G44590,303.2069139,324.5753848,346.0093247,451.5130654,372.5357187,304.0013802,312.0942754,200.9500473,222.7341573,583.9251042,595.948469,437.5402103
AT3G44600,257.5310506,109.456649,158.7635847,354.8615375,243.0962572,187.9671999,330.9237175,144.0881157,180.4148483,323.029695,377.5456558,280.795639
AT3G45090,324.4636427,378.048847,238.4687233,478.2450985,297.7346316,279.6842029,342.5483334,275.9453272,259.9492102,503.4066648,307.4497383,311.0738525
AT3G45300,534.5122644,320.7752672,522.2692294,216.0770436,323.5270113,333.9527828,460.6387246,437.0233598,832.2750949,220.0590868,232.4483086,311.4500341
AT3G45770,290.8354986,354.574736,312.3263371,332.8858676,298.591495,296.305885,418.4294246,209.8098615,349.8977405,306.3440394,246.8816483,224.1996521
AT3G46210,569.1493615,524.3115633,464.8647126,653.9501873,539.4253378,445.3793631,442.4986715,435.4854941,526.3626935,701.3104305,613.764591,619.9961736
AT3G46430,350.038085,492.8094651,371.205154,321.6292184,313.9933253,388.3593206,270.0259362,433.3962343,233.8123112,415.8529761,436.4914752,348.542718
AT3G46440,889.9669198,456.5178379,621.6756672,441.7466488,356.8711072,283.3620636,388.8355462,571.7454307,539.2454139,372.2716295,382.7964035,440.580602
AT3G46500,263.1374422,298.7852814,311.7149753,223.1556163,282.9742709,210.2666884,232.4646833,219.3763316,273.7891159,100.3281903,132.8806384,240.8772921
AT3G46510,294.4900112,158.4239847,241.7465928,215.5747662,246.4922272,291.2479763,328.9287428,290.1917466,327.1648004,204.5591696,273.2391912,218.2953282
AT3G46600,349.1980564,183.4535389,337.4603778,244.5728785,302.118638,363.771387,239.7770752,504.4756658,301.4999986,146.2777441,252.6671123,362.6620238
AT3G46620,115.2212644,124.4802918,144.2792509,108.9814849,156.7830627,155.7129399,157.9078437,542.4411323,138.4791471,80.91244563,105.6553608,161.8963042
AT3G46640,375.6424252,423.9837289,362.7512352,264.8059477,529.0399244,480.122431,189.8580401,329.059514,297.3870918,193.2216677,259.7927975,287.5269236
AT3G46830,646.1863453,446.9403378,567.8724481,532.1758549,528.5964087,532.1909854,447.7847966,679.2232881,480.3858263,468.9460654,448.7432053,359.2884419
AT3G47160,235.9960306,620.8481729,290.3233883,59.73547686,168.9776298,217.3329128,122.0093686,343.735185,217.0106361,63.99760526,44.48290295,81.23461158
AT3G47200,491.3114184,436.3296318,409.1303594,395.4663857,557.8486726,512.1166044,388.6341332,418.7076799,331.3126827,465.253016,466.8308961,512.9861158
AT3G47210,401.4894084,439.8000288,286.472548,284.5852942,540.923154,549.6422449,288.3910734,422.2412865,373.568655,352.038238,334.3935837,308.4277324
AT3G47220,373.6727294,286.4126073,328.9557416,616.1874998,786.383604,770.0914409,393.8967165,307.0465706,466.1373241,543.3391644,586.311989,426.3090391
