"","X","phyD_GC_c1.which.mclass....6...1."
"75",75,"AT1G06840"
"636",636,"AT1G67960"
"2730",2730,"AT5G42920"
"2586",2586,"AT5G20580"
"1705",1705,"AT3G50010"
"596",596,"AT1G64280"
"266",266,"AT1G21200"
"2744",2744,"AT5G43990"
"1960",1960,"AT4G08790"
"2265",2265,"AT4G35320"
"2705",2705,"AT5G40710"
"1843",1843,"AT3G61350"
"521",521,"AT1G55460"
"2230",2230,"AT4G32730"
"1293",1293,"AT3G03690"
"946",946,"AT2G24050"
"428",428,"AT1G48310"
"1229",1229,"AT2G46040"
"2588",2588,"AT5G20635"
"419",419,"AT1G47480"
"1464",1464,"AT3G15880"
"799",799,"AT2G01980"
"841",841,"AT2G07715"
"527",527,"AT1G55860"
"2142",2142,"AT4G24560"
"1123",1123,"AT2G38770"
"1836",1836,"AT3G60380"
"108",108,"AT1G08750"
"3050",3050,"ATMG00520"
"2036",2036,"AT4G15240"
"808",808,"AT2G03070"
"1591",1591,"AT3G25440"
"962",962,"AT2G25420"
"836",836,"AT2G06000"
"1703",1703,"AT3G49880"
"579",579,"AT1G62850"
"889",889,"AT2G18250"
"2767",2767,"AT5G46190"
"2336",2336,"AT5G02150"
"2675",2675,"AT5G36710"
"3031",3031,"AT5G67440"
"645",645,"AT1G68920"
"410",410,"AT1G44100"
"588",588,"AT1G63610"
"373",373,"AT1G32330"
"1785",1785,"AT3G56160"
