"","WS_c1.which.mclass....4...1."
"1018","AT1G59710"
"1019","AT1G59740"
"1020","AT1G59830"
"1021","AT1G59910"
"1022","AT1G59940"
"1023","AT1G60095"
"1024","AT1G60220"
"1025","AT1G60440"
"1026","AT1G60560"
"1027","AT1G60610"
"1028","AT1G60640"
"1029","AT1G60650"
"1030","AT1G60660"
"1031","AT1G60730"
"1032","AT1G60850"
"1033","AT1G60860"
"1034","AT1G60890"
"1035","AT1G60995"
"1036","AT1G61030"
"1037","AT1G61040"
"1038","AT1G61050"
"1039","AT1G61140"
"1040","AT1G61150"
"1041","AT1G61210"
"1042","AT1G61350"
"1043","AT1G61360"
"1044","AT1G61430"
"1045","AT1G61580"
"1046","AT1G61590"
"1047","AT1G61620"
"1048","AT1G61640"
"1049","AT1G61660"
"1050","AT1G61667"
"1051","AT1G61690"
"1052","AT1G61730"
"1053","AT1G61780"
"1054","AT1G61820"
"1055","AT1G61870"
"1056","AT1G61900"
"1057","AT1G61990"
"1058","AT1G62300"
"1059","AT1G62310"
"1060","AT1G62330"
"1061","AT1G62430"
"1062","AT1G62640"
"1063","AT1G62710"
"1064","AT1G62770"
"1065","AT1G62820"
"1066","AT1G62830"
"1067","AT1G62870"
"1068","AT1G62970"
"1069","AT1G62975"
"1070","AT1G62980"
"1071","AT1G62990"
"1072","AT1G63100"
"1073","AT1G63110"
"1074","AT1G63170"
"1075","AT1G63220"
"1076","AT1G63260"
"1077","AT1G63290"
"1078","AT1G63300"
"1079","AT1G63420"
"1080","AT1G63430"
"1081","AT1G63440"
"1082","AT1G63450"
"1083","AT1G63460"
"1084","AT1G63470"
"1085","AT1G63490"
"1086","AT1G63500"
"1087","AT1G63650"
"1088","AT1G63670"
"1089","AT1G63750"
"1090","AT1G63780"
"1091","AT1G63800"
"1092","AT1G63810"
"1093","AT1G63830"
"1094","AT1G63840"
"1095","AT1G63850"
"1096","AT1G64050"
"1097","AT1G64105"
"1098","AT1G64170"
"1099","AT1G64280"
"1100","AT1G64330"
"1101","AT1G64350"
"1102","AT1G64385"
"1103","AT1G64440"
"1104","AT1G64570"
"1105","AT1G64630"
"1106","AT1G64640"
"1107","AT1G64660"
"1108","AT1G64750"
"1109","AT1G64760"
"1110","AT1G64850"
"1111","AT1G64960"
"1112","AT1G64980"
"1113","AT1G64990"
"1114","AT1G65020"
"1115","AT1G65030"
"1116","AT1G65060"
"1117","AT1G65310"
"1118","AT1G65320"
"1119","AT1G65410"
"1120","AT1G65430"
"1121","AT1G65590"
"1122","AT1G65610"
"1123","AT1G65650"
"1124","AT1G65660"
"1125","AT1G65690"
"1126","AT1G65900"
"1127","AT1G65920"
"1128","AT1G65985"
"1129","AT1G66070"
"1130","AT1G66140"
"1131","AT1G66160"
"1132","AT1G66240"
"1133","AT1G66340"
"1134","AT1G66350"
"1135","AT1G66530"
"1136","AT1G66700"
"1137","AT1G66730"
"1138","AT1G66750"
"1139","AT1G66760"
"1140","AT1G66880"
"1141","AT1G66900"
"1142","AT1G67060"
"1143","AT1G67080"
"1144","AT1G67110"
"1145","AT1G67250"
"1146","AT1G67300"
"1147","AT1G67320"
"1148","AT1G67325"
"1149","AT1G67340"
"1150","AT1G67360"
"1151","AT1G67420"
"1152","AT1G67490"
"1153","AT1G67500"
"1154","AT1G67510"
"1155","AT1G67530"
"1156","AT1G67550"
"1157","AT1G67560"
"1158","AT1G67570"
"1159","AT1G67630"
"1160","AT1G67660"
"1161","AT1G67710"
"1162","AT1G67720"
"1163","AT1G67800"
"1164","AT1G67880"
"1165","AT1G67890"
"1166","AT1G67940"
"1167","AT1G67950"
"1168","AT1G67960"
"1169","AT1G68000"
"1170","AT1G68020"
"1171","AT1G68070"
"1172","AT1G68100"
"1173","AT1G68130"
"1174","AT1G68220"
"1175","AT1G68260"
"1176","AT1G68300"
"1177","AT1G68310"
"1178","AT1G68370"
"1179","AT1G68400"
"1180","AT1G68410"
"1181","AT1G68490"
"1182","AT1G68550"
"1183","AT1G68650"
"1184","AT1G68670"
"1185","AT1G68710"
"1186","AT1G68740"
"1187","AT1G68810"
"1188","AT1G68820"
"1189","AT1G68880"
"1190","AT1G68910"
"1191","AT1G68920"
"1192","AT1G68990"
"1193","AT1G69010"
"1194","AT1G69030"
"1195","AT1G69040"
"1196","AT1G69060"
"1197","AT1G69160"
"1198","AT1G69170"
"1199","AT1G69250"
"1200","AT1G69270"
"1201","AT1G69310"
"1202","AT1G69360"
"1203","AT1G69440"
"1204","AT1G69450"
"1205","AT1G69580"
"1206","AT1G69640"
"1207","AT1G69670"
"1208","AT1G69690"
"1209","AT1G69700"
"1210","AT1G69750"
"1211","AT1G69760"
"1212","AT1G69780"
"1213","AT1G69800"
"1214","AT1G69810"
"1215","AT1G69840"
"1216","AT1G69890"
"1217","AT1G69910"
"1218","AT1G69980"
"1219","AT1G70000"
"1220","AT1G70080"
"1221","AT1G70170"
"1222","AT1G70180"
"1223","AT1G70190"
"1224","AT1G70210"
"1225","AT1G70340"
"1226","AT1G70460"
"1227","AT1G70480"
"1228","AT1G70520"
"1229","AT1G70530"
"1230","AT1G70550"
"1231","AT1G70560"
"1232","AT1G70660"
"1233","AT1G70690"
"1234","AT1G70740"
"1235","AT1G70750"
"1236","AT1G70810"
"1237","AT1G70900"
"1238","AT1G71020"
"1239","AT1G71070"
"1240","AT1G71080"
