"","WS_GC_c1.which.mclass....7...1."
"1097","AT2G23672"
"1098","AT2G23690"
"1099","AT2G23760"
"1100","AT2G23910"
"1101","AT2G24190"
"1102","AT2G24220"
"1103","AT2G24250"
"1104","AT2G24350"
"1105","AT2G24395"
"1106","AT2G24520"
"1107","AT2G24540"
"1108","AT2G24560"
"1109","AT2G24680"
"1110","AT2G24700"
"1111","AT2G24860"
"1112","AT2G24980"
"1113","AT2G25000"
"1114","AT2G25130"
"1115","AT2G25220"
"1116","AT2G25290"
"1117","AT2G25350"
"1118","AT2G25460"
"1119","AT2G25590"
"1120","AT2G25605"
"1121","AT2G26030"
"1122","AT2G26250"
"1123","AT2G26370"
"1124","AT2G26380"
"1125","AT2G26390"
"1126","AT2G26480"
"1127","AT2G26520"
"1128","AT2G26540"
"1129","AT2G26790"
"1130","AT2G26910"
"1131","AT2G27035"
"1132","AT2G27060"
"1133","AT2G27389"
"1134","AT2G27480"
"1135","AT2G27490"
"1136","AT2G27610"
"1137","AT2G27660"
"1138","AT2G27690"
"1139","AT2G27790"
"1140","AT2G27920"
"1141","AT2G27930"
"1142","AT2G28050"
"1143","AT2G28100"
"1144","AT2G28305"
"1145","AT2G28420"
"1146","AT2G28560"
"1147","AT2G28650"
"1148","AT2G28830"
"1149","AT2G28880"
"1150","AT2G28930"
"1151","AT2G28960"
"1152","AT2G28970"
"1153","AT2G29180"
"1154","AT2G29260"
"1155","AT2G29450"
"1156","AT2G29640"
"1157","AT2G29650"
"1158","AT2G29670"
"1159","AT2G29720"
"1160","AT2G29740"
"1161","AT2G30010"
"1162","AT2G30040"
"1163","AT2G30080"
"1164","AT2G30100"
"1165","AT2G30230"
"1166","AT2G30250"
"1167","AT2G30370"
"1168","AT2G30380"
"1169","AT2G30505"
"1170","AT2G30570"
"1171","AT2G30615"
"1172","AT2G30720"
"1173","AT2G30840"
"1174","AT2G30890"
"1175","AT2G30933"
"1176","AT2G30942"
"1177","AT2G30960"
"1178","AT2G31230"
"1179","AT2G31380"
"1180","AT2G31540"
"1181","AT2G31580"
"1182","AT2G31790"
"1183","AT2G31830"
"1184","AT2G31870"
"1185","AT2G31920"
"1186","AT2G32030"
"1187","AT2G32235"
"1188","AT2G32270"
"1189","AT2G32390"
"1190","AT2G32470"
"1191","AT2G32550"
"1192","AT2G32630"
"1193","AT2G32765"
"1194","AT2G32830"
"1195","AT2G32870"
"1196","AT2G32930"
"1197","AT2G32940"
"1198","AT2G32990"
"1199","AT2G33050"
"1200","AT2G33051"
"1201","AT2G33060"
"1202","AT2G33110"
"1203","AT2G33180"
"1204","AT2G33240"
"1205","AT2G33250"
"1206","AT2G33260"
"1207","AT2G33385"
"1208","AT2G33480"
"1209","AT2G33500"
"1210","AT2G33550"
"1211","AT2G33580"
"1212","AT2G33640"
"1213","AT2G33750"
"1214","AT2G33760"
"1215","AT2G33980"
"1216","AT2G34000"
"1217","AT2G34180"
"1218","AT2G34185"
"1219","AT2G34200"
"1220","AT2G34220"
"1221","AT2G34240"
"1222","AT2G34350"
"1223","AT2G34355"
"1224","AT2G34390"
"1225","AT2G34400"
"1226","AT2G34420"
"1227","AT2G34430"
"1228","AT2G34510"
"1229","AT2G34530"
"1230","AT2G34540"
"1231","AT2G34650"
"1232","AT2G34830"
"1233","AT2G34860"
"1234","AT2G34910"
"1235","AT2G34920"
"1236","AT2G34930"
"1237","AT2G34940"
"1238","AT2G34980"
