"","X","WS_c1.which.mclass....2...1."
"3638",3638,"AT5G10940"
"78",78,"AT1G05213"
"436",436,"AT1G22882"
"3609",3609,"AT5G09330"
"444",444,"AT1G23480"
"978",978,"AT1G70210"
"3359",3359,"AT4G34060"
"3283",3283,"AT4G30290"
"2222",2222,"AT3G16230"
"21",21,"AT1G02130"
"952",952,"AT1G68580"
"416",416,"AT1G21650"
"3889",3889,"AT5G24890"
"1710",1710,"AT2G39650"
"3745",3745,"AT5G16250"
"2845",2845,"AT4G02350"
"1074",1074,"AT1G75340"
"1786",1786,"AT2G43070"
"3402",3402,"AT4G36630"
"4008",4008,"AT5G41760"
"2299",2299,"AT3G20100"
"1668",1668,"AT2G37160"
"4022",4022,"AT5G42800"
"2623",2623,"AT3G53990"
"2592",2592,"AT3G52220"
"104",104,"AT1G06130"
"2944",2944,"AT4G11850"
"4433",4433,"AT5G64610"
"702",702,"AT1G51560"
"1288",1288,"AT2G16440"
"2789",2789,"AT3G63000"
"2172",2172,"AT3G14172"
"177",177,"AT1G09840"
"2446",2446,"AT3G28430"
"1861",1861,"AT2G46790"
"4498",4498,"AT5G67470"
"3747",3747,"AT5G16280"
"2560",2560,"AT3G50910"
"3411",3411,"AT4G36920"
"3688",3688,"AT5G13160"
"2333",2333,"AT3G21530"
"3794",3794,"AT5G19010"
"3752",3752,"AT5G16650"
"624",624,"AT1G38131"
"2788",2788,"AT3G62940"
"519",519,"AT1G28350"
"1123",1123,"AT1G78460"
"3644",3644,"AT5G11240"
"363",363,"AT1G18470"
"1677",1677,"AT2G37570"
"3130",3130,"AT4G22190"
"982",982,"AT1G70480"
"1787",1787,"AT2G43140"
"3272",3272,"AT4G29790"
"2779",2779,"AT3G62330"
"496",496,"AT1G27460"
"3836",3836,"AT5G21040"
"2681",2681,"AT3G57040"
"3270",3270,"AT4G29700"
"209",209,"AT1G11050"
"1483",1483,"AT2G27980"
"408",408,"AT1G21110"
"339",339,"AT1G17500"
"3296",3296,"AT4G30996"
"4130",4130,"AT5G48440"
"998",998,"AT1G71696"
"784",784,"AT1G55920"
"2753",2753,"AT3G61010"
"2187",2187,"AT3G15020"
"4111",4111,"AT5G47370"
"1749",1749,"AT2G41120"
"1892",1892,"AT3G01100"
"3086",3086,"AT4G19240"
"1505",1505,"AT2G28890"
"546",546,"AT1G29940"
"1486",1486,"AT2G28100"
"3291",3291,"AT4G30825"
"3094",3094,"AT4G19670"
"42",42,"AT1G03440"
"3825",3825,"AT5G20520"
"1207",1207,"AT2G02090"
"869",869,"AT1G63110"
"1813",1813,"AT2G44770"
"1545",1545,"AT2G31350"
"4143",4143,"AT5G48900"
"4338",4338,"AT5G59770"
"341",341,"AT1G17580"
"97",97,"AT1G05830"
"3277",3277,"AT4G29905"
"2329",2329,"AT3G21220"
"3143",3143,"AT4G23260"
"3161",3161,"AT4G24440"
"2237",2237,"AT3G17100"
"1316",1316,"AT2G17840"
"1459",1459,"AT2G26680"
"1481",1481,"AT2G27730"
"362",362,"AT1G18450"
"1445",1445,"AT2G26060"
"3488",3488,"AT5G01650"
"2122",2122,"AT3G12020"
"830",830,"AT1G60440"
"44",44,"AT1G03590"
"888",888,"AT1G64400"
"3697",3697,"AT5G13680"
"95",95,"AT1G05790"
"1551",1551,"AT2G31560"
"1401",1401,"AT2G23310"
"1304",1304,"AT2G17410"
"1586",1586,"AT2G33210"
"2270",2270,"AT3G18980"
"3593",3593,"AT5G08170"
"1354",1354,"AT2G20180"
"2118",2118,"AT3G11800"
"2296",2296,"AT3G19980"
"2292",2292,"AT3G19900"
"1575",1575,"AT2G32810"
"608",608,"AT1G34320"
"3778",3778,"AT5G18110"
"235",235,"AT1G12780"
"3168",3168,"AT4G24610"
"4487",4487,"AT5G66950"
"949",949,"AT1G68490"
"4019",4019,"AT5G42520"
"319",319,"AT1G16740"
"1812",1812,"AT2G44760"
"1435",1435,"AT2G25320"
"464",464,"AT1G25280"
"3014",3014,"AT4G15630"
"1983",1983,"AT3G05280"
"110",110,"AT1G06400"
"718",718,"AT1G52380"
"1958",1958,"AT3G04580"
"3128",3128,"AT4G22130"
"1895",1895,"AT3G01160"
"1624",1624,"AT2G34930"
"2360",2360,"AT3G22990"
"4418",4418,"AT5G64110"
"1424",1424,"AT2G24860"
"1514",1514,"AT2G29500"
"4278",4278,"AT5G56260"
"3890",3890,"AT5G25070"
"3903",3903,"AT5G26600"
"4324",4324,"AT5G58740"
"1410",1410,"AT2G23820"
"125",125,"AT1G07250"
"1058",1058,"AT1G74370"
"1385",1385,"AT2G22230"
"2575",2575,"AT3G51620"
"2842",2842,"AT4G02290"
"4267",4267,"AT5G55850"
"3795",3795,"AT5G19130"
"2906",2906,"AT4G09630"
"3267",3267,"AT4G29510"
"554",554,"AT1G30210"
"1658",1658,"AT2G36480"
"3075",3075,"AT4G18820"
"4500",4500,"AT5G67490"
"2289",2289,"AT3G19810"
"2158",2158,"AT3G13445"
"1579",1579,"AT2G32910"
"715",715,"AT1G52280"
"2053",2053,"AT3G08020"
"208",208,"AT1G10930"
"699",699,"AT1G51100"
"2447",2447,"AT3G28460"
"1336",1336,"AT2G19170"
"1405",1405,"AT2G23520"
"881",881,"AT1G64040"
"3583",3583,"AT5G07830"
"1878",1878,"AT2G47690"
"3071",3071,"AT4G18465"
"180",180,"AT1G09870"
"4394",4394,"AT5G62650"
"4140",4140,"AT5G48730"
"1353",1353,"AT2G20120"
"2663",2663,"AT3G56110"
"1612",1612,"AT2G34170"
"3693",3693,"AT5G13410"
"2854",2854,"AT4G02630"
"970",970,"AT1G69780"
